product_id,title,brand,price,description,image_url,features,category
0739079891,"Alfreds Teach Yourself to Play Ukulele, Complete Starter Pack",Alfred Music Publishing,N/A,"From Alfred Music, the worldwide leader in music education products since 1922, comes Alfred s Teach Yourself to Play Ukulele, Complete Starter Pack: Everything You Need to Start Playing Now! This awa...",https://images-na.ssl-images-amazon.com/images/I/51gNofz1RtL.jpg,"High-quality Firebrand wood soprano ukulele with nylon strings, chrome tuners, and natural wood finish | Deluxe accessories including a custom-fit, lightweight soprano ukulele gig bag with carrying handle, extra set of clear nylon soprano ukulele strings | Bestselling Alfred's Teach Yourself to Play Ukulele instruction course including 64-page instructional method, accompanying Audio CD featuring complete demonstration and performance tracks, and DVD featuring a professional ukulele instructor",Musical Instruments
1480360295,"ChordBuddy Guitar Learning System for Right Handed Guitars. Includes ChordBuddy,...",ChordBuddy,$6.04,"ChordBuddy is the easiest and most effective guitar learning system available! As soon as the ChordBuddy is properly attached to your acoustic or electric guitar, you will be making music! Within a fe...",https://images-na.ssl-images-amazon.com/images/I/51jl1h0QgFL.jpg,"You just found the easiest way to learn guitar  ChordBuddy. This innovative guitar learning system was featured on the Hit TV show Shark Tank | Adults or children, young or old, anyone can quickly and easily learn to play guitar. ChordBuddy makes it possible to pick up a guitar and start playing songs in no time. ChordBuddy is also available for kids 5-9 if you purchase the ChordBuddy Junior Guitar Package | Includes lesson plan book, and companion DVD. Learning guitar chords is a difficultand essentialpart of learning to play guitar. Take the struggle out of it with ChordBuddy.",Musical Instruments
9792372326,"QSC K10 2-Way Powered Speaker - 1000 Watts, 1x10""",QSC,$125.99,"QSC K10 2-Way Powered Speaker - 1000 Watts, 1x10""",https://images-na.ssl-images-amazon.com/images/I/61Am6EfZG8L.jpg,"Two-way powered speaker with 10-inch woofer | 75-Degree vertical and horizontal coverage angle | 1000-Watt continuous class d power amplifier, via a 2 x 500-watt bi-amped system",Musical Instruments
B00000J50W,Music Maker - Hand Made Lap Harp - Easy to Play Musical Instrument,Music Maker,$39.99,The Music Maker lets people play beautiful music--regardless of prior musical experience--by simply sliding a songsheet under the strings and plucking the string above each printed note. It's really t...,https://images-na.ssl-images-amazon.com/images/I/41Z8115p1LL.jpg,"PLAY BEAUTIFUL MUSIC INSTANTLY: Anyone can play the music maker regardless of experience! Simply slide a song sheet in the player and pluck the strings and you are a musician. | HANDMADE ARTISAN QUALITY: Made of ash and specially selected hardwoods. Because it is handmade, each Music Maker is unique. There is no other in the world exactly like it | INSTANTLY ENJOY THE MUSIC YOU CREATE: Includes 12 songs, pick, tuner and spare wire. Comes tuned for immediate enjoyment! A wide variety of additional song sheets are available",Musical Instruments
B00004UE29,Yamaha YRS24B Soprano Recorder,Yamaha,N/A,"ABS recorders are durable and easy to care for while providing a tone similar to that of natural wood. Though other maker's plastic recorders may have a similar appearance, Yamaha ABS recorders are tr...",https://images-na.ssl-images-amazon.com/images/I/21ie9oP6uxL.jpg,Yamaha; YRS24B; recorder,Musical Instruments
B00004Y2V2,Monster Standard 100 Microphone Cable 30 Ft. - Precision Xlrs (S100-M-30),Monster,N/A,"30 ft. - precision XLRs  Monster-Quality audio cable at an affordable price. Features durable construction, ultra-flexibility, heavy-duty reinforced connectors and Monsterous sound for Monsterous musi...",https://images-na.ssl-images-amazon.com/images/I/41Z3rSuCcIL.jpg,Twisted pair construction reduces audio bandwidth distortions for better clarity. | 92% coverage copper-braided shield rejects RFI and EMI for a lower noise floor and increased resolution. | Extra-flexible Duraflex outer jacket for superior reliability and cut resistance.,Musical Instruments
B00005ML71,"Yamaha FC5 Compact Sustain Pedal for Portable Keyboards, black",Yamaha,$14.35,"Yamaha offers many different foot pedal/switch/controllers for a variety of functions. A compact version of the FC4, the FC5 performs similar to an acoustic piano's sustain pedal providing expression ...",https://images-na.ssl-images-amazon.com/images/I/41ulZZNqiJL.jpg,"Brand: Yamaha | Product Code: FC5 | A compact version of the FC4, the FC5 performs similar to an acoustic piano's sustain",Musical Instruments
B000068NSX,Fender 18 Feet California Clear Instrument Cable - Lake Placid Blue,Fender,$19.99,New and improved California Cables are here! Fender has the right cable for the job in a variety of vintage colors. Available in 10' & 18' lengths with a limited lifetime warranty. Quality cables at a...,https://images-na.ssl-images-amazon.com/images/I/31A91WUT0yL.jpg,"20-gauge | Heavy-duty 1/4"" plugs | Limited lifetime warranty",Musical Instruments
B000068NVJ,"Hosa MCL-110 XLR3F to XLR3M Microphone Cable, 10 Feet",Hosa,$11.95,Solid Steel Connectors and Braided Shield / Male to Female XLR Connectors,https://images-na.ssl-images-amazon.com/images/I/31MrGWwVuKL.jpg,Professional quality and construction | Flexible | Durable,Musical Instruments
B000068NZG,"Hosa XVS-101F XLR3F to Right Angle 3.5 mm TRS Microphone Cable, 1 Foot",Hosa,$7.45,"A Hosa Cable which was designed for certain Stereo Microphones that use a single XLR as output for both Left and Right signals. For 20 Years, Hosa has provided a cost effective solution to the cabling...",https://images-na.ssl-images-amazon.com/images/I/31eWUKgZ5DL.jpg,This cable is designed to connect a stereo microphone with a single XLR output to a mini stereo phone input. | It is ideal for connecting a shotgun mic to a DV camera. | XLR connector with internal strain relief for rugged reliability,Musical Instruments
B000068NZD,"Hosa XVM-105F XLR3F to Right Angle 3.5 mm TRS Microphone Cable, 5 Feet",Hosa,$7.95,"Hosa cables are built with the hard-working, hard-touring musician or audio professional in mind. Hosa cables are exceedingly popular, due in part to their reputation as being one of the most affordab...",https://images-na.ssl-images-amazon.com/images/I/314-hIju7KL.jpg,"This Hosa Stereo Mini Angled Male to 3-Pin XLR Female Cable is specifically wired to convert a mono microphone or line level signal to both left/right contacts of a mini 3.5mm (1/8"") stereo plug. | This allows microphones and mono output devices to be connected to the stereo inputs of camcorders without phase cancellation and single channel operation. | Hosa",Musical Instruments
B000068NYU,"Hosa STX-110F XLR3F to 1/4"" TRS Balanced Interconnect Cable, 10 Feet",Hosa,$8.95,The Hosa STX100F interconnect cable is designed to connect gear with XLR outputs to gear with balanced phone inputs. It is ideal for use in a variety of pro audio applications.,https://images-na.ssl-images-amazon.com/images/I/311%2BzqCeLGL.jpg,This cable is designed to connect gear with XLR outputs to gear with balanced phone inputs. It is ideal for use in a variety of pro audio applications | Nickel-plated plugs for rugged durability and efficient signal transfer | Oxygen-Free Copper (OFC) conductors for enhanced signal clarity,Musical Instruments
B000068NZB,"Hosa XLR-105 XLR3F to XLR3M Balanced Interconnect Cable, 5 Feet",Hosa,$11.53,"Hosa cables are built with the hard-working, hard-touring musician or audio professional in mind. Hosa cables are exceedingly popular, due in part to their reputation as being one of the most affordab...",https://images-na.ssl-images-amazon.com/images/I/310m0OxXn7L.jpg,XLR connectors with internal strain relief for rugged reliability | Oxygen-Free Copper (OFC) conductors for enhanced signal clarity | OFC spiral shield for effective EMI and RFI rejection and flexibility,Musical Instruments
B000068NYM,"Hosa PXF-105 XLR3F to 1/4&quot; TS Unbalanced Interconnect Cable, 5 Feet",Hosa,$7.45,"Hosa cables are built with the hard-working, hard-touring musician or audio professional in mind. Hosa cables are exceedingly popular, due in part to their reputation as being one of the most affordab...",https://images-na.ssl-images-amazon.com/images/I/41dpb53gG2L.jpg,"The XLR plug is ""pin 2"" hot (to tip) wired for the most common uses nowadays. | Standard heavy-duty cabling | Molded 1/4"" plug",Musical Instruments
B000068O35,"Hosa CMS-105 3.5 mm TRS to 1/4&quot; TRS Stereo Interconnect Cable, 5 Feet",Hosa,$5.45,"Hosa cables are built with the hard-working, hard-touring musician or audio professional in mind. Hosa cables are exceedingly popular, due in part to their reputation as being one of the most affordab...",https://images-na.ssl-images-amazon.com/images/I/31mly-jdriL.jpg,"Type: Balanced | Connector: Male 1/8"" to Male TRS"" | Length: 5'",Musical Instruments
B000068NW8,"Hosa GTR-205 Straight to Straight Guitar Cable, 5 Feet",Hosa,$6.95,The Hosa Guitar instrument cables are designed to provide years of dependable service. High-quality components and world-class manufacturing combine to deliver products of exceptional value.,https://images-na.ssl-images-amazon.com/images/I/31wfeuIsWtL.jpg,Length: 5 Feet | Connectors: Straight to Same | Conductor: 24 AWG OFC,Musical Instruments
B000068NUQ,"Hosa MID-510 Serviceable 5-Pin DIN to Serviceable 5-Pin DIN Pro MIDI Cable, 10 F...",Hosa,$8.95,"Designed to interconnect MIDI devices, the Hosa MID510 Pro MIDI 5-pin DIN to Same 10 Foot Cable is wired 5-pin discrete and compatible with all MIDI standards, including SysEx.",https://images-na.ssl-images-amazon.com/images/I/31GS53BDB7L.jpg,"Serviceable, all-metal plugs for rugged durability and ease of repair | Oxygen-Free Copper (OFC) conductors for enhanced signal clarity | OFC spiral shield for effective EMI and RFI rejection and flexibility",Musical Instruments
B000068O59,"Hosa YXM-121 XLR3F to Dual XLR3M Y Cable, 6 Inch",Hosa,$10.45,The Hosa YXM121 cable is designed to connect an XLR output to two XLR inputs. It is ideal for assigning the signal from a microphone to two channels on a mixing console. ,https://images-na.ssl-images-amazon.com/images/I/316cis9D6RL.jpg,This cable is designed to connect an XLR output to two XLR inputs. It is ideal for assigning the signal from a microphone to two channels on a mixing console | XLR connectors with internal strain relief for rugged reliability | Oxygen-Free Copper (OFC) conductors for enhanced signal clarity.,Musical Instruments
B000068O3X,"Hosa CFS-106 Molded Right Angled Guitar Patch Cable, 6 Inch",Hosa,$2.95,This cable is designed to interconnect electric guitar pedal effects. Right-angle plugs allow close spacing of pedal effects on pedalboards. Features include: Nickel-plated plugs for rugged durability...,https://images-na.ssl-images-amazon.com/images/I/3173ALqQQOL.jpg,Nickel-plated plugs for rugged durability and efficient signal transfer | Oxygen-Free Copper (OFC) conductors for enhanced signal clarity | OFC spiral shields for effective EMI and RFI rejection and flexibility,Musical Instruments
B000068O58,"Hosa YXF-119 XLR3M to Dual XLR3F Y Cable, 6 Inch",Hosa,$10.95,"Hosa cables are built with the hard-working, hard-touring musician or audio professional in mind. Hosa cables are exceedingly popular, due in part to their reputation as being one of the most affordab...",https://images-na.ssl-images-amazon.com/images/I/31dsCthuDHL.jpg,This cable is designed to connect two XLR outputs to one XLR input. It may be used to connect two microphones to one channel on a mixing console when a second channel is unavailable | XLR connectors with internal strain relief for rugged reliability | Oxygen-Free Copper (OFC) conductors for enhanced signal clarity,Musical Instruments
B00006HO3L,Audio-Technica AT92ECD Universal Replacement Magnetic Phono Cartridge,Audio-Technica,N/A,The AT92ECD is a .3 x .7 elliptical cartridge fits both Half-inch and P-Mount turntables.,https://images-na.ssl-images-amazon.com/images/I/51%2BNqaPHykL.jpg,"Frequency Response: 15-27,000 Hz | Channel Separation: 29/18 (dB at 1 kHz/10 kHz) | Vertical Tracking Force: 1.0-1.5 grams",Musical Instruments
B00006I523,Audio-Technica PRO 88W-R35 VHF Wireless Lavalier System with ATR35 Mini Omnidire...,Audio-Technica,$22.99,"Audio-Technica's PRO 88W VHF wireless microphone systems are designed for camcorder and other applications requiring a small, easily portable wireless. Equipped with a flexible detachable antenna and ...",https://images-na.ssl-images-amazon.com/images/I/41RCSlsO41L.jpg,"Provides freedom of movement for video production, computer applications and business presentations | Features two switchable frequencies for interference-free operation and high-band VHF operation for superior sound | Normal operating range from 100' up to 300' under optimum conditions, and the durable, flexible antenna can be positioned for best reception",Musical Instruments
B00006I5R7,Sennheiser E835 Dynamic Cardioid Vocal Microphone,Sennheiser,$14.99,The e835 is a High Quality vocal microphone. It has a cardioid pick-up pattern for excellent feedback rejection and uniform on and off axis response.,https://images-na.ssl-images-amazon.com/images/I/31uPckKcDLL.jpg,Cardioid Pick-up pattern | Good Ambient noise and feedback rejection | Powerful sound presence boost,Musical Instruments
B00006JPD5,Azden WLX-PRO Lavalier System,Azden,$182.99,The WLX-PRO is an easy to use and affordable wireless audio system combining the WL/T-PRO transmitter with the WR-PRO camera mount receiver. The WL/T-PRO combines the WM-PRO body-pack transmitter with...,https://images-na.ssl-images-amazon.com/images/I/41FkDDquFwL.jpg,"LEDs on transmitter and receiver to confirm system status. Earphone included to monitor sound that is being recorded. Receiver plugs into camera's external microphone jack. Both units use one 9V battery each. Includes WR-PRO receiver, WM-PRO belt-pack transmitter, and lavaliere electret condenser microphone. | <span class=""a-size-base a-color-secondary"">
                Single Channel VHF wireless system
            </span> | <span class=""a-size-base a-color-secondary"">
                WL/T-PRO body-pack transmitter &amp; lapel mic
            </span>",Musical Instruments
B0000775G0,"Woodstock Chimes Zenergy Chime, Solo, Silver",Woodstock Chimes,$6.41,We live in a vast ocean of sound. But what is the sound made by a single drop of water? Just a gentle tap with the mallet and the Zenergy Chime emits a powerful tone of singular beauty that lasts and ...,https://images-na.ssl-images-amazon.com/images/I/41kpeFQ5rQL.jpg,Aluminum hand-held chime and black mallet; emits a powerful tone of singular beauty | Measures 7 x 2-inches; 1-inch diameter silver polished aluminum rod | Includes a keyhole slot on the back of the cherry ash wood base so it can be installed upright on a door or wall,Musical Instruments
B0000775FZ,"Woodstock Chimes ZENERGY3 Zenergy Chime, Trio",Woodstock Chimes,$14.68,The three rods of this chime produce pleasant tones that sound wonderful in any combination. Can be used as a personal instrument for improvisation and meditation. Tapped gently with the rubber-tipped...,https://images-na.ssl-images-amazon.com/images/I/51wXDfQ85nL.jpg,"Woodstock Zenergy percussion three-tone chime emits a soothing ""voice"" that relaxes and reenergizes | Chime is handcrafted of 3 aluminum rods on a wooden base; precision-tuned | Includes rubber-tipped wooden striking mallet",Musical Instruments
B0000775FY,"Woodstock Chimes ZENERGY2 Zenergy Chime, Meditation",Woodstock Chimes,$8.99,"Two rods tuned to similar pitches produce a pulsing tone called ""beating."" Tibetan monks use small cymbals called tingsha, which are sounded to mark the beginning and end of a period of meditation. Yo...",https://images-na.ssl-images-amazon.com/images/I/41FPX5GrGiL.jpg,"Dual hand-held chime with black mallet; tuned to similar pitches to produce a pulsing tone called ""beating"" | Measures 7 x 2.5-inches; 1-inch diameter silver polished aluminum rods | Includes a keyhole slot on the back so it can be installed upright on a door or wall",Musical Instruments
B00008W2LW,Shure M44-7 Standard DJ Turntable Cartridge,Shure,N/A,"Revived exactly the same as the original, this mythical battle needle offers ultra-high skip resistance and ultra-high output. The needle of choice for many champion DJs worldwide, including The forme...",https://images-na.ssl-images-amazon.com/images/I/41-GIhTARjL.jpg,"Engineered for scratch DJ's and turntablists, the M44-7 is designed not to skip under even the most demanding circumstances | Unique wide-diameter Type S cantilever with a tracking force of 1.5 to 3.0 grams | Skip Resistance: ultra high.",Musical Instruments
B00009J580,Yamaha JR1 FG Junior 3/4 Size Acoustic Guitar,Yamaha,$22.99,"Built with the legendary quality and playability the FG Series, Yamaha designed the JR1 for the younger player or anyone who is more comfortable with a smaller-bodied acoustic. Carefully selection of ...",https://images-na.ssl-images-amazon.com/images/I/41cA1U4yIfL.jpg,"The FG Junior is a 3/4 sized guitar modeled after the acclaimed Yamaha FG Series | The JR1 has a smaller body and shorter neck, perfect for young players or those with smaller hands | Yamaha craftsmanship and a spruce top give this compact guitar an authentic acoustic tone",Musical Instruments
B00009W40H,Nady XC-50 50 foot XLR Microphone Cable Low noise shielded balanced cable with m...,Nady,$19.99,"<b>Professional quality microphone cable with XLR connectors</b> The <b>Nady XC-50</b> is a high quality, 50-foot XLR-to-XLR microphone cable. It can be used to connect any two devices with XLR connec...",https://images-na.ssl-images-amazon.com/images/I/51IVJKUQxSL.jpg,Professional quality balanced microphone cable | 50-foot in length | Internally shielded low-noise microphone cable,Musical Instruments
B00009W40D,Nady SP-4C Dynamic Neodymium Microphone - Professional vocal microphone for perf...,Nady,$0.91," The Nady SP-4C Dynamic Microphone, switchable and versatile, offers quality full-range response with crisp mid-range presence for optimal clarity and punch. Powerful neodymium element delivers the hi...",https://images-na.ssl-images-amazon.com/images/I/41l2CuRCRPL.jpg,"Linear full-range response with crisp mid-range presence for optimal clarity and punch. A perfect all-purpose, versatile stage and recording microphone | Powerful neodymium element cuts through the loudest sound pressure level situations without compromising sound. Ultra-light aluminum voice coil &amp; transformerless design provide noise-free, accurate reproduction across the audio spectrum | Tight cardioid polar pattern provides excellent off-axis rejection for superior gain before feedback. Advanced capsule multi-axis rubber shockmount minimizes handling noise. External on/off switch for easy control of audio from stage",Musical Instruments
B0000AQRSS,Shure PG58-QTR Cardioid Dynamic Vocal Microphone with XLR to 1/4-inch Cable,Shure,$2.94,Shure PG58 Vocal Microphone,https://images-na.ssl-images-amazon.com/images/I/41dlOFw8tTL.jpg,"Tailored frequency response is smooth and extended. Tuned specifically for vocal applications | Cardioid polar pattern picks up the most sound from in front of the microphone and some sound from the sides. Less susceptible to feedback in high volume settings. | Dynamic cartridge has a simple, rugged coil. Handles extreme volume levels without distortion.",Musical Instruments
B0000AQRSU,Shure SM58S Vocal Microphone (with On Off Switch),Shure,$14.99,"A standard on stages throughout the world for years, the Shure SM58 Dynamic Vocal Microphone offers a carefully tailored frequency rise at about 4,000 Hz for smooth as silk vocals that stand out in th...",https://images-na.ssl-images-amazon.com/images/I/31dm%2B7TIQEL.jpg,"Frequency response tailored for vocals, with brightened midrange and bass rolloff to control proximity effect | Uniform cardioid pickup pattern isolates the main sound source and minimizes background noise | Pneumatic shock-mount system cuts down handling noise",Musical Instruments
B0000AQRST,Shure SM57-LC Cardioid Dynamic Microphone,Shure,$14.99,"The Shure SM57 is a fixture in the music business. You see it everywhere. In small clubs and 100,000 seat stadiums. This renowned mic is used by legendary performers and the latest up-and-comers.  Wha...",https://images-na.ssl-images-amazon.com/images/I/31KR2%2BJ86GL.jpg,"Contoured frequency response is clean, instrumental reproduction and rich vocal pickup | Professional-quality reproduction for drum, precussion, and instrument amplifier miking | Uniform cardioid pickup pattern isolates the main source while reducing background noise",Musical Instruments
B0000AQRSR,Shure PG48-XLR Cardioid Dynamic Vocal Microphone with XLR-to-XLR Cable,Shure,$7.99,"The PG48 Dynamic Vocal Microphone is a professional quality microphone designed to be used for spoken word and karaoke performance applications. With rugged durability and excellent sound, the PG48 co...",https://images-na.ssl-images-amazon.com/images/I/41bE5CRTmZL.jpg,"Tailored frequency response is smooth and extended. Tuned specifically for vocal applications. On/off switch for onstage control. | Cardioid polar pattern picks up the most sound from in front of the microphone and some sound from the sides. Less susceptible to feedback in high volume settings. | Dynamic cartridge has a simple, rugged coil. Handles extreme volume levels without distortion. Durable metal construction.",Musical Instruments
